order_id,product_id,unit,subtotal,notes
1,1,20.00000,1500000.00000,Wireless mouse order
1,2,5.00000,1250000.00000,Gaming keyboard order
1,4,1.00000,1000000.00000,Monitor purchase
2,9,15.00000,870000.00000,Office paper supplies
2,10,100.00000,650000.00000,Whiteboard markers
2,5,10.00000,580000.00000,Casual clothing items
3,15,4.00000,2680000.00000,Electric drill units
3,16,40.00000,2880000.00000,Ceramic tile materials
3,17,10.00000,2890000.00000,Steel pipe supplies
4,5,20.00000,1100000.00000,Cotton shirt order
4,6,3.00000,150000.00000,Running shoes
5,1,10.00000,750000.00000,Computer accessories
5,4,1.00000,1750000.00000,LED monitor
6,7,50.00000,900000.00000,Cooking oil stock
6,18,30.00000,495000.00000,Sugar purchase
7,3,5.00000,4250000.00000,Office chairs
7,20,2.00000,2500000.00000,Acoustic guitars
8,2,2.00000,500000.00000,Keyboard purchase
8,10,50.00000,325000.00000,Marker stock
9,15,3.00000,2010000.00000,Industrial drill equipment
10,7,25.00000,450000.00000,Cooking oil purchase
10,8,15.00000,675000.00000,Mineral water boxes
10,13,10.00000,280000.00000,Shampoo supplies